subject,label
This week in tech: 5 stories worth reading,not_spam
You've WON a MacBook Pro! Claim now,spam
Reminder: vendor contract due Friday,not_spam
Photos from Toronto trip,not_spam
Cascade Analytics newsletter - August edition,not_spam
Your prescription is ready for pickup,not_spam
You've WON a luxury vacation! Claim now,spam
Re: security audit - next steps,not_spam
Get 90% OFF everything today only,spam
Proposal for supply chain review,not_spam
Update on office relocation,not_spam
Reminder: partnership proposal due Friday,not_spam
Feedback needed on office relocation,not_spam
Your reading list for the week,not_spam
Proposal for vendor contract,not_spam
Community update from Pinecrest Systems,not_spam
"Congratulations, you qualify for a free VPN subscription",spam
Lose 30 lbs in 14 days - guaranteed,spam
Get 60% OFF everything today only,spam
Question about the trip to Manchester,not_spam
Hotel booking confirmed - Prague,not_spam
Status update: client migration,not_spam
Get 80% OFF everything today only,spam
Your weekly digest from Willowbrook Farms,not_spam
Appointment confirmation with Solstice Design,not_spam
Meet local singles tonight for free,spam
Flight confirmation for your trip to Dublin,not_spam
Statement available: Silverline Insurance account,not_spam
Update on security audit,not_spam
Your invoice from Pinecrest Systems is ready,not_spam
Your credit score has changed dramatically,spam
Get 99% OFF everything today only,spam
Appointment confirmation with Silverline Insurance,not_spam
Quick question about press release draft,not_spam
Last chance: 75% discount expires tonight,spam
Claim your free VPN subscription before it's gone,spam
Thoughts on farmers market haul,not_spam
Thanks for your help with supply chain review,not_spam
Bluebird Media newsletter - August edition,not_spam
Your parcel is out for delivery,not_spam
FREE gift card - limited time offer,spam
Dinner next week?,not_spam
Make $1000 a week working from home,spam
Claim your free AirPods before it's gone,spam
Question about the trip to Berlin,not_spam
Your Amazon order #349119 has an issue,spam
Statement available: Bluebird Media account,not_spam
Notes from today's meeting on customer survey results,not_spam
Feedback needed on annual report,not_spam
Upcoming events near Edinburgh,not_spam
Your weekly digest from Brightpath Education,not_spam
Statement available: Solstice Design account,not_spam
Utility bill for this month is available,not_spam
Community update from Solstice Design,not_spam
Hotel booking confirmed - Toronto,not_spam
Statement available: Copperfield Retail account,not_spam
Receipt for your recent purchase - Willowbrook Farms,not_spam
Statement available: Vantage Group account,not_spam
Lose 15 lbs in 30 days - guaranteed,spam
Your Amazon order #280564 has an issue,spam
Your PayPal account has been limited - verify now,spam
Free trial ends today - don't miss out,spam
Quick question about town hall meeting,not_spam
Flight confirmation for your trip to Manchester,not_spam
Re: office relocation - next steps,not_spam
Draft agenda for product launch kickoff,not_spam
Appointment confirmation with Northwind Logistics,not_spam
Proposal for product launch,not_spam
Hotel booking confirmed - Edinburgh,not_spam
"Job opportunity - earn $500 daily, no experience",spam
Get 50% OFF everything today only,spam
Cheap smartwatch - buy 1 get 3 free,spam
Michael's wedding invitation,not_spam
Can we reschedule our call about customer survey results?,not_spam
"Congratulations, you qualify for a free smartwatch",spam
Question about the trip to Toronto,not_spam
Grace's wedding invitation,not_spam
Get rich quick with this one weird trick,spam
Thoughts on weekend brunch,not_spam
Lose 10 lbs in 3 days - guaranteed,spam
Exclusive investment opportunity - 80% returns guaranteed,spam
Action items from marketing campaign meeting,not_spam
Exclusive investment opportunity - 50% returns guaranteed,spam
"Congratulations, you qualify for a free AirPods",spam
Lose 15 lbs in 3 days - guaranteed,spam
Thoughts on garden tomatoes,not_spam
"Job opportunity - earn $5000 daily, no experience",spam
Congratulations! You are our lucky winner,spam
Status update: product launch,not_spam
Your Amazon order #382507 has an issue,spam
Status update: security audit,not_spam
Quick question about marketing campaign,not_spam
Follow-up on training program,not_spam
Hotel booking confirmed - Seattle,not_spam
Feedback needed on partnership proposal,not_spam
Lose 20 lbs in 14 days - guaranteed,spam
Thanks for your help with expense report,not_spam
Upcoming events near Melbourne,not_spam
Long time no talk,not_spam
Can we reschedule our call about town hall meeting?,not_spam
Status update: sprint retrospective,not_spam
Photos from Prague trip,not_spam
Action items from customer survey results meeting,not_spam
Your Amazon order #151685 has an issue,spam
URGENT: Your account will be suspended,spam
Can we reschedule our call about expense report?,not_spam
Update on town hall meeting,not_spam
Community update from Willowbrook Farms,not_spam
You have 1 unread message from your bank,spam
Thanks for your help with marketing campaign,not_spam
Your Apple ID was used to sign in,spam
Update on Q3 budget review,not_spam
Make $10000 a week working from home,spam
Re: app redesign - next steps,not_spam
Claire's wedding invitation,not_spam
Re: partnership proposal - next steps,not_spam
Make $5000 a week working from home,spam
Your subscription payment failed - update now,spam
Your order from Harborview Consulting has shipped,not_spam
Draft agenda for website redesign kickoff,not_spam
You've been selected for a special reward,spam
Act now: your refund of $2500 is waiting,spam
Make $750 a week working from home,spam
Your Amazon order #881975 has an issue,spam
Draft agenda for vendor contract kickoff,not_spam
"Job opportunity - earn $1000 daily, no experience",spam
Thanks for your help with app redesign,not_spam
Your order from Bluebird Media has shipped,not_spam
annual report - final version attached,not_spam
Can we reschedule our call about vendor contract?,not_spam
You have been pre-approved for a loan,spam
Sophie shared a document with you: annual report,not_spam
Can we reschedule our call about training program?,not_spam
Flight confirmation for your trip to Prague,not_spam
Claim your free Viagra before it's gone,spam
IRS Notice: you owe back taxes,spam
Re: website redesign - next steps,not_spam
Question about the trip to Lisbon,not_spam
Dentist appointment reminder,not_spam
Your order from Solstice Design has shipped,not_spam
Reminder: onboarding checklist due Friday,not_spam
Your weekly digest from Harborview Consulting,not_spam
Follow-up on product launch,not_spam
Update on supply chain review,not_spam
Your Amazon order #738221 has an issue,spam
Update on app redesign,not_spam
Appointment confirmation with Cascade Analytics,not_spam
Cheap AirPods - buy 1 get 3 free,spam
supply chain review - final version attached,not_spam
Lakeside Studios newsletter - August edition,not_spam
Your order from Silverline Insurance has shipped,not_spam
Notes from today's meeting on security audit,not_spam
Double your bitcoin in 30 days,spam
You've WON a $1000 gift card! Claim now,spam
Upcoming events near Prague,not_spam
Your computer has a virus - call now,spam
Moving weekend - need help?,not_spam
Double your bitcoin in 7 days,spam
Your Netflix account is on hold - update billing,spam
Your table reservation is confirmed,not_spam
Thoughts on holiday baking,not_spam
Elena's wedding invitation,not_spam
Your Amazon order #537017 has an issue,spam
Redstone Capital newsletter - August edition,not_spam
Latest release notes from Silverline Insurance,not_spam
"Congratulations, you qualify for a free Viagra",spam
Flight confirmation for your trip to Toronto,not_spam
Your invoice from Willowbrook Farms is ready,not_spam
Latest release notes from Copperfield Retail,not_spam
"Congratulations, you qualify for a free weight loss pills",spam
David shared a document with you: office relocation,not_spam
Laura shared a document with you: supply chain review,not_spam
Notes from today's meeting on sprint retrospective,not_spam
Action items from onboarding checklist meeting,not_spam
Community update from Vantage Group,not_spam
Meridian Partners newsletter - August edition,not_spam
Your gift card balance is waiting,spam
Draft agenda for app redesign kickoff,not_spam
Aisha's wedding invitation,not_spam
Claim your free smartwatch before it's gone,spam
Upcoming events near Singapore,not_spam
Receipt for your recent purchase - Cascade Analytics,not_spam
Thanks for your help with town hall meeting,not_spam
Zoe's wedding invitation,not_spam
Your subscription renewal reminder,not_spam
Re: press release draft - next steps,not_spam
Photos from Vancouver trip,not_spam
Status update: vendor contract,not_spam
Upcoming events near Seattle,not_spam
Upcoming events near Bristol,not_spam
Action items from hiring plan meeting,not_spam
Quick question about product launch,not_spam
Appointment confirmation with Harborview Consulting,not_spam
Hot singles in your area want to meet you,spam
Statement available: Willowbrook Farms account,not_spam
Reminder: customer survey results due Friday,not_spam
Update on client migration,not_spam
Quick question about website redesign,not_spam
Can we reschedule our call about partnership proposal?,not_spam
office relocation - final version attached,not_spam
Notes from today's meeting on press release draft,not_spam
Lose 30 lbs in 3 days - guaranteed,spam
Thoughts on cheese tasting night,not_spam
Can we reschedule our call about client migration?,not_spam
James's wedding invitation,not_spam
Yusuf's wedding invitation,not_spam
Your order from Willowbrook Farms has shipped,not_spam
Act now: your refund of $750 is waiting,spam
Follow-up on annual report,not_spam
Last chance: 90% discount expires tonight,spam
Update on hiring plan,not_spam
Question about the trip to Amsterdam,not_spam
"Job opportunity - earn $10000 daily, no experience",spam
FREE weight loss pills - limited time offer,spam
Can we reschedule our call about marketing campaign?,not_spam
Receipt for your recent purchase - Pinecrest Systems,not_spam
免费赠品 claim your prize now,spam
You've WON a iPhone 17! Claim now,spam
Follow-up on customer survey results,not_spam
Notes from today's meeting on vendor contract,not_spam
Cheap gift card - buy 1 get 3 free,spam
Your Amazon order #748276 has an issue,spam
Re: sprint retrospective - next steps,not_spam
Question about the trip to Leeds,not_spam
Action items from vendor contract meeting,not_spam
Lose 10 lbs in 7 days - guaranteed,spam
"Congratulations, you qualify for a free gift card",spam
"This is not a scam, please read urgent message",spam
Follow-up on expense report,not_spam
Your Amazon order #818119 has an issue,spam
Double your bitcoin in 14 days,spam
Thanks for your help with Q3 budget review,not_spam
Flight confirmation for your trip to Melbourne,not_spam
Status update: hiring plan,not_spam
Feedback needed on expense report,not_spam
Proposal for partnership proposal,not_spam
customer survey results - final version attached,not_spam
Reminder: expense report due Friday,not_spam
Make $500 a week working from home,spam
Latest release notes from Cascade Analytics,not_spam
Thanks for your help with sprint retrospective,not_spam
Priya's wedding invitation,not_spam
Flight confirmation for your trip to Berlin,not_spam
